img_id,img_name,seq,n_gt,misses,tp,fp,risk,dataset,split,contract,threshold
299,traina66.jpg,traina66,6,0,6,231,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
301,traina80.jpg,traina80,20,0,20,278,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
303,traina89.jpg,traina89,7,1,6,276,0.14285714285714285,uavdt,image_lockbox,raw960,0.018750000000000003
5,dji_399_150m00401_2.jpg,dji_399_150m00401,1,0,1,16,0.0,uavdt,image_lockbox,union,0.05625
6,dji_399_150m00601_3.jpg,dji_399_150m00601,4,0,4,20,0.0,uavdt,image_lockbox,union,0.05625
7,dji_399_150m00701_2.jpg,dji_399_150m00701,3,0,3,13,0.0,uavdt,image_lockbox,union,0.05625
8,dji_399_150m00701_4.jpg,dji_399_150m00701,19,1,18,31,0.05263157894736842,uavdt,image_lockbox,union,0.05625
10,dji_399_150m00801_2.jpg,dji_399_150m00801,4,0,4,16,0.0,uavdt,image_lockbox,union,0.05625
14,dji_399_150m01101_6.jpg,dji_399_150m01101,14,0,14,22,0.0,uavdt,image_lockbox,union,0.05625
16,dji_399_150m01301_6.jpg,dji_399_150m01301,14,0,14,23,0.0,uavdt,image_lockbox,union,0.05625
21,dji_399_150m02201_4.jpg,dji_399_150m02201,22,0,22,36,0.0,uavdt,image_lockbox,union,0.05625
22,dji_399_150m02501_1.jpg,dji_399_150m02501,3,0,3,28,0.0,uavdt,image_lockbox,union,0.05625
31,dji_477_150m01001_3.jpg,dji_477_150m01001,1,0,1,18,0.0,uavdt,image_lockbox,union,0.05625
32,dji_477_150m01001_4.jpg,dji_477_150m01001,30,1,29,95,0.03333333333333333,uavdt,image_lockbox,union,0.05625
44,dji_64_150m00201_4.jpg,dji_64_150m00201,3,0,3,8,0.0,uavdt,image_lockbox,union,0.05625
46,dji_64_150m00601_2.jpg,dji_64_150m00601,5,0,5,7,0.0,uavdt,image_lockbox,union,0.05625
49,dji_64_150m01601_6.jpg,dji_64_150m01601,5,0,5,33,0.0,uavdt,image_lockbox,union,0.05625
51,dji_64_150m02001_3.jpg,dji_64_150m02001,8,0,8,12,0.0,uavdt,image_lockbox,union,0.05625
52,dji_64_150m02201_4.jpg,dji_64_150m02201,4,0,4,7,0.0,uavdt,image_lockbox,union,0.05625
62,dji_65_150m01401_1.jpg,dji_65_150m01401,5,1,4,11,0.2,uavdt,image_lockbox,union,0.05625
63,dji_65_150m01601_5.jpg,dji_65_150m01601,2,0,2,3,0.0,uavdt,image_lockbox,union,0.05625
73,dji_65_150m03001_4.jpg,dji_65_150m03001,4,0,4,8,0.0,uavdt,image_lockbox,union,0.05625
76,djibridge2_150m00601_1.jpg,djibridge2_150m00601,11,1,10,68,0.09090909090909091,uavdt,image_lockbox,union,0.05625
78,djibridge2_150m01201_3.jpg,djibridge2_150m01201,10,0,10,29,0.0,uavdt,image_lockbox,union,0.05625
81,djibridge_150m00201_5.jpg,djibridge_150m00201,17,0,17,71,0.0,uavdt,image_lockbox,union,0.05625
88,lim_1020.jpg,lim,235,29,206,366,0.12340425531914893,uavdt,image_lockbox,union,0.05625
99,lim_1590.jpg,lim,240,36,204,359,0.15,uavdt,image_lockbox,union,0.05625
102,lim_1980.jpg,lim,242,33,209,368,0.13636363636363635,uavdt,image_lockbox,union,0.05625
103,lim_2010.jpg,lim,240,33,207,352,0.1375,uavdt,image_lockbox,union,0.05625
113,lim_3765.jpg,lim,207,11,196,400,0.05314009661835749,uavdt,image_lockbox,union,0.05625
115,lim_3915.jpg,lim,205,15,190,410,0.07317073170731707,uavdt,image_lockbox,union,0.05625
121,pavilion_048_1785.jpg,pavilion_048,20,5,15,156,0.25,uavdt,image_lockbox,union,0.05625
126,pavilion_048_2070.jpg,pavilion_048,22,6,16,153,0.2727272727272727,uavdt,image_lockbox,union,0.05625
127,pavilion_048_2145.jpg,pavilion_048,23,6,17,139,0.2608695652173913,uavdt,image_lockbox,union,0.05625
134,pavilion_048_2565.jpg,pavilion_048,26,3,23,162,0.11538461538461539,uavdt,image_lockbox,union,0.05625
148,pavilion_048_3645.jpg,pavilion_048,21,7,14,168,0.3333333333333333,uavdt,image_lockbox,union,0.05625
151,pavilion_048_3855.jpg,pavilion_048,20,7,13,146,0.35,uavdt,image_lockbox,union,0.05625
160,pavilion_048_435.jpg,pavilion_048,20,6,14,166,0.3,uavdt,image_lockbox,union,0.05625
